Vendor,البائع
Use Web Server Rewrites,إعادة كتابة باستخدام خادم الويب,module,Magento_Backend,,,,
Base URLs,الرابط الأساس,module,Magento_Backend,,,,
Any of the fields allow fully qualified URLs that end with '/' (slash) e.g. http://example.com/magento/,يمكن لأي من الحقول قبول عناوين URL كاملة تنتهي بـ '/' (شرطة مائلة) مثل http://example.com/magento/,module,Magento_Backend,,,,
Base URL,قاعدة الموقع,module,Magento_Backend,,,,
Specify URL or {{base_url}} placeholder.,تحديد رابط أو {{base_url}}.,module,Magento_Backend,,,,
Base Link URL,قاعدة وصلة الموقع,module,Magento_Backend,,,,
May start with {{unsecure_base_url}} placeholder.,يمكن أن يبدأ بعنصر نائب {{unsecure_base_url}}.,module,Magento_Backend,,,,
Base URL for Static View Files,رابط أساس أو ملف عرض ثابت,module,Magento_Backend,,,,
May be empty or start with {{unsecure_base_url}} placeholder.,قد يكون فارغ أو يبدأ بـ{{unsecure_base_url}}.,module,Magento_Backend,,,,
Base URL for User Media Files,الرابط الأساس لمفات الوسائط,module,Magento_Backend,,,,
Base URLs (Secure),الرابط الأساس (مؤمن),module,Magento_Backend,,,,
Any of the fields allow fully qualified URLs that end with '/' (slash) e.g. https://example.com/magento/,يمكن لأي من الحقول قبول عناوين URL,module,Magento_Backend,,,,
Secure Base URL,موقع قاعدة مامونه,module,Magento_Backend,,,,
"Specify URL or {{base_url}}, or {{unsecure_base_url}} placeholder.",حدد رابط أو {{base_url}}، أو {{unsecure_base_url}}.,module,Magento_Backend,,,,
Secure Base Link URL,رابط المتجر الأساسي الأمن,module,Magento_Backend,,,,
May start with {{secure_base_url}} or {{unsecure_base_url}} placeholder.,قد تبدأ بالعنصر النائب {{secure_base_url}} أو {{unsecure_base_url}}.,module,Magento_Backend,,,,
Secure Base URL for Static View Files,رابط المتجر الأساسي الآمن لملفات العرض الثابت,module,Magento_Backend,,,,
"May be empty or start with {{secure_base_url}}, or {{unsecure_base_url}} placeholder.",قد تكون فارغة أو تبدأ بـ {{secure_base_url}} ، أو {{unsecure_base_url}}.,module,Magento_Backend,,,,
Secure Base URL for User Media Files,حماية الرابط الاساسي لملفات الواسائط للمستخدم,module,Magento_Backend,,,,
Use Secure URLs on Storefront,استخدم روابط آمنة في واجهة الموقع,module,Magento_Backend,,,,
Enter https protocol to use Secure URLs on Storefront.,أدخل بروتوكول https لاستخدام روابط آمنة في واجهة المتجر.,module,Magento_Backend,,,,
Use Secure URLs in Admin,استخدام عناوين في ادارة امن,module,Magento_Backend,,,,
Enter https protocol to use Secure URLs in Admin.,أدخل بروتوكول https لاستخدام روابط آمنة في لوحة الإدارة.,module,Magento_Backend,,,,
Enable HTTP Strict Transport Security (HSTS),تمكين النظام الأمني (HSTS),module,Magento_Backend,,,,
"See <a href=""https://cheatsheetseries.owasp.org/cheatsheets/HTTP_Strict_Transport_Security_Cheat_Sheet.html"" target=""_blank"">HTTP Strict Transport Security</a> page for details.","راجع صفحة <a href=""https://cheatsheetseries.owasp.org/cheatsheets/HTTP_Strict_Transport_Security_Cheat_Sheet.html"" target=""_blank"">HTTP Strict Transport Security</a> للتفاصيل.",module,Magento_Backend,,,,
Upgrade Insecure Requests,ترقية الطلبات الغير مؤمنة,module,Magento_Backend,,,,
"See <a href=""http://www.w3.org/TR/upgrade-insecure-requests/"" target=""_blank"">Upgrade Insecure Requests</a> page for details.","راجع صفحة <a href=""http://www.w3.org/TR/upgrade-insecure-requests/"" target=""_blank"">ترقية الطلبات غير الآمنة</a> للتفاصيل.",module,Magento_Backend,,,,
Offloader header,أيقاف تحميل الترويسة,module,Magento_Backend,,,,
Default Pages,الصفحات الافتراضية,module,Magento_Backend,,,,
Default Web URL,رابط الويب الإفتراضي,module,Magento_Backend,,,,
Default No-route URL,عنوان URL الافتراضي دون توجيه,module,Magento_Backend,,,,
Session Validation Settings,إعدادات صلاحية الجلسة,module,Magento_Backend,,,,
Validate REMOTE_ADDR,التحقق من صحة REMOTE_ADDR,module,Magento_Backend,,,,
Validate HTTP_VIA,التحقق من صحة HTTP_VIA,module,Magento_Backend,,,,
Validate HTTP_X_FORWARDED_FOR,التحقق من صحة HTTP_X_FORWARDED_FOR,module,Magento_Backend,,,,
Validate HTTP_USER_AGENT,التحقق من صحة HTTP_USER_AGENT,module,Magento_Backend,,,,
Cache Type,نوع التخزين المؤقت,module,Magento_Backend,,,,
Description,الوصف,module,Magento_Backend,,,,
Tags,علامات,module,Magento_Backend,,,,
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading""> خطأ 404</h1> <p>لم يتم العثور على الصفحة.</p>",module,Magento_Backend,,,,
Community Edition,النسخة العامة,module,Magento_Backend,,,,
Default Theme,القالب الافتراضي,module,Magento_Backend,,,,
"If no value is specified, the system default is used. The system default may be modified by third-party extensions.",إذا لم يتم تحديد قيمة، يتم استخدام القيمة الافتراضية للنظام. قد يتم تعديلها بواسطة الإضافات الخارجية.,module,Magento_Backend,,,,
Applied Theme,القالب المطبق,module,Magento_Backend,,,,
Design Rule,تصميم القاعدة,module,Magento_Backend,,,,
Pagination,ترقيم الصفحات,module,Magento_Backend,,,,
How many links to display at once.,كم عدد الروابط التي يتم عرضها في وقت واحد.,module,Magento_Backend,,,,
Pagination Frame,إطار الصفحات ترقيم الصفحات,module,Magento_Backend,,,,
"If current frame position does not cover utmost pages, it renders the link to current position plus/minus this value.",إذا كان موضع الإطار الحالي لا يغطي صفحات قصوى، فإنه يجعل الارتباط إلى الموضع الحالي علامة زائد/ناقص من هذه القيمة.,module,Magento_Backend,,,,
Pagination Frame Skip,تخطي ترقيم الصفحات,module,Magento_Backend,,,,
"Alternative text for the previous pages link in the pagination menu. If empty, the default arrow image is used.",ترقيم بديل لربط الصفحات التالية لقائمة الصفحات. إذا كان فارغاً، يتم استخدام رسم السهم افتراضيا.,module,Magento_Backend,,,,
Anchor Text for Previous,رابط النص للسابق,module,Magento_Backend,,,,
"Alternative text for the next pages link in the pagination menu. If empty, default arrow image is used.",ترقيم بديل لربط الصفحات التالية لقائمة الصفحات. إذا كان فارغاً، يتم استخدام رسم السهم افتراضيا.,module,Magento_Backend,,,,
Anchor Text for Next,رابط النص للتالي,module,Magento_Backend,,,,
Theme Name,اسم السمة,module,Magento_Backend,,,,
System Backup,نظام النسخ الاحتياطي,module,Magento_Backup,,,,
Database and Media Backup,النسخ الاحتياطي لقاعدة البيانات و الوسائط,module,Magento_Backup,,,,
Database Backup,النسخ الاحتياطي لقاعدة البيانات,module,Magento_Backup,,,,
"The archive can be uncompressed with <a href=""%1"">%2</a> on Windows systems.","يمكن أن يكون الأرشيف غير مضغوط مع <a href=""%1"">%2</a> على أنظمة وندوز.",module,Magento_Backup,,,,
You need more permissions to activate maintenance mode right now.,تحتاج مزيد من الصلاحيات لتنشيط وضع الصيانة الآن.,module,Magento_Backup,,,,
"To create the backup, please deselect ""Put store into maintenance mode"" or update your permissions.","لإنشاء النسخ الاحتياطي، الرجاء قم بإلغاء تحديد ""وضع المتجر في وضع الصيانة"" أو تحديث الأذونات الخاصة بك.",module,Magento_Backup,,,,
Something went wrong while putting your store into maintenance mode.,حدث خطأ في وضع المتجر الخاص بك في وضع الصيانة.,module,Magento_Backup,,,,
You need more free space to create a backup.,كنت بحاجة إلى مزيد من المساحة الحرة لإنشاء نسخة احتياطية.,module,Magento_Backup,,,,
You need more permissions to create a backup.,انت بحاجة إلى مزيد من الأذونات لإنشاء نسخة احتياطية.,module,Magento_Backup,,,,
We can't create the backup right now.,لا يمكننا إنشاء النسخ الاحتياطي الآن.,module,Magento_Backup,,,,
Backups,الاحتياطات,module,Magento_Backup,,,,
System,النظام,module,Magento_Backup,,,,
Tools,ادوات,module,Magento_Backup,,,,
Backup,نسخة احتياطية,module,Magento_Backup,,,,
We can't delete one or more backups.,لا يمكننا حذف واحد أو أكثر من النسخ الاحتياطية.,module,Magento_Backup,,,,
failed,فشل,module,Magento_Backup,,,,
successful,تم بنجاح,module,Magento_Backup,,,,
You deleted the selected backup(s).,تم حذف النسخة أو النسخ الاحتياطية المحددة.,module,Magento_Backup,,,,
Can't load snapshot archive,لا يمكن تحميل لقطة الأرشيف,module,Magento_Backup,,,,
Please correct the password.,الرجاء تصحيح كلمة المرور.,module,Magento_Backup,,,,
"To complete the rollback, please deselect ""Put store into maintenance mode"" or update your permissions.","الرجاء إكمال الاستعادة، قم بإلغاء تحديد ""وضع المتجر في وضع الصيانة"" أو تحديث الأذونات الخاصة بك.",module,Magento_Backup,,,,
We can't find the backup file.,لا يمكننا العثور على ملف النسخ الاحتياطي.,module,Magento_Backup,,,,
We can't connect to the FTP right now.,لا يمكننا الاتصال بال FTP الآن.,module,Magento_Backup,,,,
Failed to validate FTP.,فشل التحقق من صحة FTP.,module,Magento_Backup,,,,
You need more permissions to perform a rollback.,تحتاج إلى مزيد من الأذونات تنفيذ الاستعادة.,module,Magento_Backup,,,,
Failed to rollback.,فشلت الاستعادة.,module,Magento_Backup,,,,
Database,قاعدة البيانات,module,Magento_Backup,,,,
Database and Media,قاعدة البيانات و الوسائط,module,Magento_Backup,,,,
System (excluding Media),النظام (باستثناء الوسائط),module,Magento_Backup,,,,
You created the system backup.,تم إنشاء نظام النسخ الاحتياطي.,module,Magento_Backup,,,,
You created the system backup (excluding media).,لقد قمت بإنشاء نظام النسخ الاحتياطي (باستثناء الوسائط).,module,Magento_Backup,,,,
You created the database and media backup.,لقد قمت بإنشاء نسخة احتياطية لقاعدة البيانات والوسائط.,module,Magento_Backup,,,,
You created the database backup.,قمت بإنشاء قاعدة البيانات الاحتياطية.,module,Magento_Backup,,,,
